14:03:02.483 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
14:03:05.623 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='pratikkawadwale2', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@2e43c38d]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wb3bzdp.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-13epz3-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
14:03:06.021 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
14:03:06.735 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017 to client view of cluster
14:03:06.801 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017 to client view of cluster
14:03:06.804 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017 to client view of cluster
14:03:06.831 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@54c60202 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
14:03:08.106 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:121219}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:08.106 [cluster-rtt-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:112865}] to ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017
14:03:08.107 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:107573}] to ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017
14:03:08.107 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=666410999, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000ed, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e098abd17bae93c8bc7ab, counter=6}, lastWriteDate=Fri May 22 14:03:26 IST 2026, lastUpdateTimeNanos=277341239525199}
14:03:08.107 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=667001200, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e0be3f72a9be424ff1caa, counter=3}, lastWriteDate=Fri May 22 14:03:26 IST 2026, lastUpdateTimeNanos=277341240029199}
14:03:08.106 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:112865}] to ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017
14:03:08.106 [cluster-rtt-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:121219}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:08.109 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=666655000, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e0736b0848e7f43bcef9d, counter=4}, lastWriteDate=Fri May 22 14:03:26 IST 2026, lastUpdateTimeNanos=277341239752300}
14:03:08.109 [cluster-rtt-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:107575}] to ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017
14:03:08.114 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000000ed from replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:08.119 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 227 from replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:08.120 [cluster-ClusterId{value='6a1014c17291b326d92c5bcb', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:09.074 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:121225}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:03:09.966 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7604198a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cce40d7, org.springframework.security.web.context.SecurityContextPersistenceFilter@46cf8c07, org.springframework.security.web.header.HeaderWriterFilter@52aa7742, org.springframework.security.web.authentication.logout.LogoutFilter@446b64b3, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@52bba91a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@dc59ec2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38c460e8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@314b7945, org.springframework.security.web.session.SessionManagementFilter@ddffa6c, org.springframework.security.web.access.ExceptionTranslationFilter@350ff014, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@652e345]
14:03:11.019 [main] INFO  n.e.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 8.002 seconds (JVM running for 9.615)
14:03:11.778 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.service.UserServiceTest], using SpringBootContextLoader
14:03:11.779 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:03:11.779 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:03:11.829 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.service.UserServiceTest
14:03:11.832 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:03:11.832 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@61bf405d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32298473, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@19f1be04, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5d6b5d3d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@464d5365, org.springframework.test.context.support.DirtiesContextTestExecutionListener@38394dc3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2cacd55e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ba9f743, org.springframework.test.context.event.EventPublishingTestExecutionListener@7535f28, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@75f65d54, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3f3a6091, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5b4d9bda, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@467a2584, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@121dce2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6df31abf]
